,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
0,USA,98166904.0,1084282.0,,94962112.0,2120510.0,2970.0,293206.0,3239.0,1118158870.0,3339729.0,334805269.0,USA,Northern America,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,3.0,14.14,8.26,0.01,0.204,0.787,North America
1,India,44587307.0,528629.0,,44019095.0,39583.0,698.0,31698.0,376.0,894416853.0,635857.0,1406631776.0,IND,Asia (Ex. Near East),3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,Asia
2,France,35342950.0,155078.0,,34527115.0,660757.0,869.0,538892.0,2365.0,271490188.0,4139547.0,65584518.0,FRA,Western Europe,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764,Europe
3,Brazil,34706757.0,686027.0,,33838636.0,182094.0,8318.0,161162.0,3186.0,63776166.0,296146.0,215353593.0,BRA,Latin Amer. & Carib,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516,South America
4,Germany,33312373.0,149948.0,,32315200.0,847225.0,1406.0,397126.0,1788.0,122332384.0,1458359.0,83883596.0,DEU,Western Europe,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695,Europe
5,South Korea,24769101.0,28406.0,42.0,24013461.0,727234.0,352.0,482547.0,553.0,15804065.0,307892.0,51329899.0,KOR,Asia (Ex. Near East),98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.403,0.563,Asia
6,United Kingdom,23621952.0,189919.0,,23347871.0,84162.0,146.0,344857.0,2773.0,522526476.0,7628357.0,68497907.0,GBR,Western Europe,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758,Europe
7,Italy,22432803.0,177054.0,,21779604.0,476145.0,141.0,372250.0,2938.0,246636495.0,4092684.0,60262770.0,ITA,Western Europe,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,Europe
8,Japan,21229216.0,44678.0,,20380089.0,804449.0,204.0,169043.0,356.0,76201407.0,606772.0,125584838.0,JPN,Asia (Ex. Near East),377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725,Asia
9,Russia,20948470.0,387163.0,,19979763.0,581544.0,2300.0,143674.0,2655.0,273400000.0,1875095.0,145805947.0,RUS,C.W. Of Ind. States,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575,Europe
10,Turkey,16873793.0,101139.0,,16754301.0,18353.0,975.0,197211.0,1182.0,162743369.0,1902052.0,85561976.0,TUR,Near East,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585,Asia
11,Spain,13412263.0,114084.0,,13218892.0,79287.0,339.0,287083.0,2442.0,471036328.0,10082298.0,46719142.0,ESP,Western Europe,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665,Europe
12,Vietnam,11477886.0,43148.0,,10590917.0,843821.0,106.0,115993.0,436.0,85826548.0,867342.0,98953541.0,VNM,Asia (Ex. Near East),329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381,Asia
13,Australia,10209239.0,14984.0,,10133494.0,60761.0,49.0,391627.0,575.0,78835048.0,3024116.0,26068792.0,AUS,Oceania,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7,Oceania
14,Argentina,9708420.0,129897.0,,9563348.0,15175.0,294.0,211006.0,2823.0,35716069.0,776264.0,46010234.0,ARG,Latin Amer. & Carib,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547,South America
15,Netherlands,8422336.0,22643.0,,8362464.0,37229.0,35.0,489345.0,1316.0,21107399.0,1226358.0,17211447.0,NLD,Western Europe,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736,Europe
16,Iran,7548320.0,144421.0,,7325370.0,78529.0,157.0,87748.0,1679.0,54095556.0,628851.0,86022837.0,IRN,Asia (Ex. Near East),1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46,Asia
17,Mexico,7084488.0,330065.0,,6353953.0,400470.0,4798.0,53849.0,2509.0,18393211.0,139806.0,131562772.0,MEX,Latin Amer. & Carib,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702,North America
18,Indonesia,6429767.0,158093.0,,6253317.0,18357.0,2771.0,23035.0,566.0,108656989.0,389264.0,279134505.0,IDN,Asia (Ex. Near East),1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408,Asia
19,Taiwan,6417941.0,11003.0,,5603195.0,803743.0,,268661.0,461.0,25998416.0,1088319.0,23888595.0,TWN,Asia (Ex. Near East),35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723,Asia
20,Colombia,6307372.0,141794.0,,6134690.0,30888.0,342.0,122443.0,2753.0,36572720.0,709974.0,51512762.0,COL,Latin Amer. & Carib,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.533,South America
21,Poland,6289672.0,117539.0,,5335940.0,836193.0,3086.0,166659.0,3114.0,37335609.0,989290.0,37739785.0,POL,Eastern Europe,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64,Europe
22,Portugal,5490639.0,25024.0,,5394788.0,70827.0,61.0,541453.0,2468.0,44988307.0,4436467.0,10140570.0,PRT,Western Europe,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.274,0.673,Europe
23,Ukraine,5177217.0,109206.0,,4973554.0,94457.0,177.0,119865.0,2528.0,19521252.0,451963.0,43192122.0,UKR,C.W. Of Ind. States,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361,Europe
24,Austria,5118512.0,20738.0,,5006572.0,91202.0,47.0,564539.0,2287.0,197543761.0,21787811.0,9066710.0,AUT,Western Europe,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678,Europe
25,Greece,4920192.0,33111.0,,4836903.0,50178.0,115.0,476918.0,3209.0,94139966.0,9125063.0,10316637.0,GRC,Western Europe,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733,Europe
26,Malaysia,4838872.0,36369.0,,4777329.0,25174.0,43.0,145832.0,1096.0,64604259.0,1947021.0,33181072.0,MYS,Asia (Ex. Near East),329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436,Asia
